Subfolder,Code_Number,Test_Passed,Error
intermediate1,2,Fail,"Mistral-7b-verilog-temp0\intermediate1_2:8: error: Module definition full_adder cannot nest into module half_adder.
Mistral-7b-verilog-temp0\intermediate1_2:14: error: Module definition adder cannot nest into module full_adder.
Mistral-7b-verilog-temp0\intermediate1_2:20: error: Module definition adder_ci cannot nest into module adder.
Mistral-7b-verilog-temp0\intermediate1_2:26: error: Module definition adder_co cannot nest into module adder_ci.
Mistral-7b-verilog-temp0\intermediate1_2:29: syntax error
I give up."
intermediate1,3,No,
intermediate2,1,No,
intermediate2,2,No,
intermediate2,3,Yes,
intermediate3,1,Fail,"Mistral-7b-verilog-temp0\intermediate3_1:15: error: r_next is not a valid l-value in tb_lfsr.UUT.
Mistral-7b-verilog-temp0\intermediate3_1:7:      : r_next is declared here as wire.
Mistral-7b-verilog-temp0\intermediate3_1:22: error: q is not a valid l-value in tb_lfsr.UUT.
Mistral-7b-verilog-temp0\intermediate3_1:4:      : q is declared here as wire.
Mistral-7b-verilog-temp0\intermediate3_1:25: error: q is not a valid l-value in tb_lfsr.UUT.
Mistral-7b-verilog-temp0\intermediate3_1:4:      : q is declared here as wire.
3 error(s) during elaboration."
intermediate3,2,Fail,"Mistral-7b-verilog-temp0\intermediate3_2:16: error: r_next is not a valid l-value in tb_lfsr.UUT.
Mistral-7b-verilog-temp0\intermediate3_2:7:      : r_next is declared here as wire.
Mistral-7b-verilog-temp0\intermediate3_2:19: error: feedback_value is not a valid l-value in tb_lfsr.UUT.
Mistral-7b-verilog-temp0\intermediate3_2:8:      : feedback_value is declared here as wire.
2 error(s) during elaboration."
intermediate3,3,Fail,"Mistral-7b-verilog-temp0\intermediate3_3:14: error: r_next is not a valid l-value in tb_lfsr.UUT.
Mistral-7b-verilog-temp0\intermediate3_3:7:      : r_next is declared here as wire.
1 error(s) during elaboration."
intermediate4,1,Fail,"Mistral-7b-verilog-temp0\intermediate4_1:14: error: out is not a valid l-value in tb_simple_fsm.UUT.
Mistral-7b-verilog-temp0\intermediate4_1:1:      : out is declared here as wire.
Mistral-7b-verilog-temp0\intermediate4_1:15: error: out is not a valid l-value in tb_simple_fsm.UUT.
Mistral-7b-verilog-temp0\intermediate4_1:1:      : out is declared here as wire.
2 error(s) during elaboration."
intermediate4,2,Fail,"Mistral-7b-verilog-temp0\intermediate4_2:17: error: out is not a valid l-value in tb_simple_fsm.UUT.
Mistral-7b-verilog-temp0\intermediate4_2:1:      : out is declared here as wire.
Mistral-7b-verilog-temp0\intermediate4_2:20: error: out is not a valid l-value in tb_simple_fsm.UUT.
Mistral-7b-verilog-temp0\intermediate4_2:1:      : out is declared here as wire.
2 error(s) during elaboration."
intermediate4,3,Fail,"Mistral-7b-verilog-temp0\intermediate4_3:22: error: out is not a valid l-value in tb_simple_fsm.UUT.
Mistral-7b-verilog-temp0\intermediate4_3:1:      : out is declared here as wire.
Mistral-7b-verilog-temp0\intermediate4_3:23: error: out is not a valid l-value in tb_simple_fsm.UUT.
Mistral-7b-verilog-temp0\intermediate4_3:1:      : out is declared here as wire.
2 error(s) during elaboration."
intermediate5,1,Fail,"Mistral-7b-verilog-temp0\intermediate5_1:22: syntax error
Mistral-7b-verilog-temp0\intermediate5_1:22: error: Syntax error between internal '}' and closing '}' of repeat concatenation."
intermediate5,2,Fail,"Mistral-7b-verilog-temp0\intermediate5_2:9: error: A reference to a wire or reg (`amount') is not allowed in a constant expression.
Mistral-7b-verilog-temp0\intermediate5_2:9: error: Part select expressions must be constant.
Mistral-7b-verilog-temp0\intermediate5_2:9:      : This msb expression violates the rule: (amount)-('sd1)
Mistral-7b-verilog-temp0\intermediate5_2:9: error: A reference to a wire or reg (`amount') is not allowed in a constant expression.
Mistral-7b-verilog-temp0\intermediate5_2:9: error: Part select expressions must be constant.
Mistral-7b-verilog-temp0\intermediate5_2:9:      : This lsb expression violates the rule: amount
Mistral-7b-verilog-temp0\intermediate5_2:9: error: A reference to a wire or reg (`amount') is not allowed in a constant expression.
Mistral-7b-verilog-temp0\intermediate5_2:9: error: Part select expressions must be constant.
Mistral-7b-verilog-temp0\intermediate5_2:9:      : This msb expression violates the rule: (amount)-('sd1)
Mistral-7b-verilog-temp0\intermediate5_2:9: error: A reference to a wire or reg (`amount') is not allowed in a constant expression.
Mistral-7b-verilog-temp0\intermediate5_2:9: error: Part select expressions must be constant.
Mistral-7b-verilog-temp0\intermediate5_2:9:      : This lsb expression violates the rule: amount
8 error(s) during elaboration."
intermediate5,3,Fail,"Mistral-7b-verilog-temp0\intermediate5_3:9: error: A reference to a wire or reg (`amount') is not allowed in a constant expression.
Mistral-7b-verilog-temp0\intermediate5_3:9: error: Part select expressions must be constant.
Mistral-7b-verilog-temp0\intermediate5_3:9:      : This msb expression violates the rule: (amount)-('sd1)
Mistral-7b-verilog-temp0\intermediate5_3:9: error: A reference to a wire or reg (`amount') is not allowed in a constant expression.
Mistral-7b-verilog-temp0\intermediate5_3:9: error: Part select expressions must be constant.
Mistral-7b-verilog-temp0\intermediate5_3:9:      : This msb expression violates the rule: (amount)-('sd1)
4 error(s) during elaboration."
intermediate6,1,Fail,"Mistral-7b-verilog-temp0\intermediate6_1:12: error: q is not a valid l-value in tb_ram.UUT.
Mistral-7b-verilog-temp0\intermediate6_1:2:      : q is declared here as wire.
1 error(s) during elaboration."
intermediate6,2,Fail,"Mistral-7b-verilog-temp0\intermediate6_2:12: error: q is not a valid l-value in tb_ram.UUT.
Mistral-7b-verilog-temp0\intermediate6_2:2:      : q is declared here as wire.
1 error(s) during elaboration."
intermediate6,3,Fail,"Mistral-7b-verilog-temp0\intermediate6_3:12: error: q is not a valid l-value in tb_ram.UUT.
Mistral-7b-verilog-temp0\intermediate6_3:2:      : q is declared here as wire.
1 error(s) during elaboration."
intermediate7,1,No,
intermediate7,2,Yes,
intermediate7,3,Yes,
intermediate8,1,No,
intermediate8,2,Fail,"Mistral-7b-verilog-temp0\intermediate8_2:32: syntax error
I give up."
intermediate8,3,No,
